realtime_start,realtime_end,date,value
2025-05-13,2025-05-13,1913-01-01,9.8
2025-05-13,2025-05-13,1913-02-01,9.8
2025-05-13,2025-05-13,1913-03-01,9.8
2025-05-13,2025-05-13,1913-04-01,9.8
2025-05-13,2025-05-13,1913-05-01,9.7
2025-05-13,2025-05-13,1913-06-01,9.8
2025-05-13,2025-05-13,1913-07-01,9.9
2025-05-13,2025-05-13,1913-08-01,9.9
2025-05-13,2025-05-13,1913-09-01,10.0
2025-05-13,2025-05-13,1913-10-01,10.0
2025-05-13,2025-05-13,1913-11-01,10.1
2025-05-13,2025-05-13,1913-12-01,10.0
2025-05-13,2025-05-13,1914-01-01,10.0
2025-05-13,2025-05-13,1914-02-01,9.9
2025-05-13,2025-05-13,1914-03-01,9.9
2025-05-13,2025-05-13,1914-04-01,9.8
2025-05-13,2025-05-13,1914-05-01,9.9
2025-05-13,2025-05-13,1914-06-01,9.9
2025-05-13,2025-05-13,1914-07-01,10.0
2025-05-13,2025-05-13,1914-08-01,10.2
2025-05-13,2025-05-13,1914-09-01,10.2
2025-05-13,2025-05-13,1914-10-01,10.1
2025-05-13,2025-05-13,1914-11-01,10.2
2025-05-13,2025-05-13,1914-12-01,10.1
2025-05-13,2025-05-13,1915-01-01,10.1
2025-05-13,2025-05-13,1915-02-01,10.0
2025-05-13,2025-05-13,1915-03-01,9.9
2025-05-13,2025-05-13,1915-04-01,10.0
2025-05-13,2025-05-13,1915-05-01,10.1
2025-05-13,2025-05-13,1915-06-01,10.1
2025-05-13,2025-05-13,1915-07-01,10.1
2025-05-13,2025-05-13,1915-08-01,10.1
2025-05-13,2025-05-13,1915-09-01,10.1
2025-05-13,2025-05-13,1915-10-01,10.2
2025-05-13,2025-05-13,1915-11-01,10.3
2025-05-13,2025-05-13,1915-12-01,10.3
2025-05-13,2025-05-13,1916-01-01,10.4
2025-05-13,2025-05-13,1916-02-01,10.4
2025-05-13,2025-05-13,1916-03-01,10.5
2025-05-13,2025-05-13,1916-04-01,10.6
2025-05-13,2025-05-13,1916-05-01,10.7
2025-05-13,2025-05-13,1916-06-01,10.8
2025-05-13,2025-05-13,1916-07-01,10.8
2025-05-13,2025-05-13,1916-08-01,10.9
2025-05-13,2025-05-13,1916-09-01,11.1
2025-05-13,2025-05-13,1916-10-01,11.3
2025-05-13,2025-05-13,1916-11-01,11.5
2025-05-13,2025-05-13,1916-12-01,11.6
2025-05-13,2025-05-13,1917-01-01,11.7
